type;name;role;age;season;nation;from;to;market_value;value
"Acquisto";"Duván Zapata";"Punta centrale";"27";18/19";"Colombia";"Atalanta BC";"Sampdoria";"20,00 mln ";"20,00 mln  Spesa prestito: 14,00 mln "
"Acquisto";"Davide Bettella";"Difensore centrale";"18";18/19";"Italia";"Atalanta BC";"Inter";"-";"- 7,00 mln "
"Acquisto";"Bryan Cristante";"Centrale";"23";18/19";"Italia";"Atalanta BC";"Benfica";"25,00 mln ";"25,00 mln  5,00 mln "
"Acquisto";"Marco Tumminello";"Punta centrale";"19";18/19";"Italia";"Atalanta BC";"Roma";"1,00 mln ";"1,00 mln  5,00 mln "
"Acquisto";"Marco Carraro";"Mediano";"20";18/19";"Italia";"Atalanta BC";"Inter";"800 mila ";"800 mila  5,00 mln "
"Acquisto";"Pierluigi Gollini";"Portiere";"23";18/19";"Italia";"Atalanta BC";"Aston Villa";"3,50 mln ";"3,50 mln  4,30 mln "
"Acquisto";"Arkadiusz Reca";"Terzino sinistro";"23";18/19";"Polonia";"Atalanta BC";"Wisla Plock";"250 mila ";"250 mila  4,00 mln "
"Acquisto";"Mario Pasalic";"Centrale";"23";18/19";"Croazia";"Atalanta BC";"Chelsea";"8,00 mln ";"8,00 mln  Spesa prestito: 1,00 mln "
"Acquisto";"Emiliano Rigoni";"Ala destra";"25";18/19";"Argentina";"Atalanta BC";"Zenit";"7,50 mln ";"7,50 mln  Spesa prestito: 1,00 mln "
"Acquisto";"Marco Varnier";"Difensore centrale";"20";18/19";"Italia";"Atalanta BC";"Cittadella";"2,50 mln ";"2,50 mln  Prestito"
"Acquisto";"Ali Adnan";"Terzino sinistro";"24";18/19";"Iraq";"Atalanta BC";"Udinese";"1,80 mln ";"1,80 mln  Prestito"
"Acquisto";"Matteo Salvi";"Difensore centrale";"19";18/19";"Italia";"Atalanta BC";"Pisa U19";"50 mila ";"50 mila  ?"
"Acquisto";"Stefano Mazzini";"Portiere";"19";18/19";"Italia";"Atalanta BC";"Pordenone";"75 mila ";"75 mila  Fine prestito 22/ago/2018"
"Acquisto";"Roberto Ranieri";"Centrale";"21";18/19";"Italia";"Atalanta BC";"Alessandria";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
"Acquisto";"Matteo Pessina";"Centrale";"21";18/19";"Italia";"Atalanta BC";"Spezia";"2,00 mln ";"2,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Michele Messina";"Terzino destro";"22";18/19";"Italia";"Atalanta BC";"Pro Piacenza";"125 mila ";"125 mila  Fine prestito 30/giu/2018"
"Acquisto";"Salvatore Molina";"Centrocampista di destra";"26";18/19";"Italia";"Atalanta BC";"Avellino";"800 mila ";"800 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alberto Almici";"Terzino destro";"25";18/19";"Italia";"Atalanta BC";"Cremonese";"700 mila ";"700 mila  Fine prestito 30/giu/2018"
"Acquisto";"Simone Mazzocchi";"Punta centrale";"19";18/19";"Italia";"Atalanta BC";"Siracusa";"250 mila ";"250 mila  Fine prestito 30/giu/2018"
"Acquisto";"Giacomo Parigi";"Punta centrale";"22";18/19";"Italia";"Atalanta BC";"V. Francavilla";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alex Redolfi";"Difensore centrale";"24";18/19";"Italia";"Atalanta BC";"Juve Stabia";"125 mila ";"125 mila  Fine prestito 30/giu/2018"
"Acquisto";"Patrick Asmah";"Terzino sinistro";"22";18/19";"Ghana";"Atalanta BC";"Salernitana";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alberto Dossena";"Difensore centrale";"19";18/19";"Italia";"Atalanta BC";"Siena";"350 mila ";"350 mila  Fine prestito 30/giu/2018"
"Acquisto";"Marco Sportiello";"Portiere";"26";18/19";"Italia";"Atalanta BC";"Fiorentina";"6,00 mln ";"6,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Anton Kresic";"Difensore centrale";"22";18/19";"Croazia";"Atalanta BC";"Avellino";"300 mila ";"300 mila  Fine prestito 30/giu/2018"
"Acquisto";"Guido Marilungo";"Seconda punta";"28";18/19";"Italia";"Atalanta BC";"Spezia";"700 mila ";"700 mila  Fine prestito 30/giu/2018"
"Acquisto";"Ákos Kecskés";"Difensore centrale";"22";18/19";"Ungheria";"Atalanta BC";"Korona Kielce";"300 mila ";"300 mila  Fine prestito 30/giu/2018"
"Acquisto";"Mario Pugliese";"Centrale";"22";18/19";"Italia";"Atalanta BC";"Pro Vercelli";"175 mila ";"175 mila  Fine prestito 30/giu/2018"
"Acquisto";"Nicolò Fazzi";"Centrocampista di destra";"23";18/19";"Italia";"Atalanta BC";"Cesena";"350 mila ";"350 mila  Fine prestito 30/giu/2018"
"Acquisto";"Simone Emmanuello";"Centrale";"24";18/19";"Italia";"Atalanta BC";"Cesena";"600 mila ";"600 mila  Fine prestito 30/giu/2018"
"Acquisto";"Davide Merelli";"Portiere";"22";18/19";"Italia";"Atalanta BC";"Padova";"100 mila ";"100 mila  Fine prestito 30/giu/2018"
"Acquisto";"Gaetano Monachello";"Punta centrale";"24";18/19";"Italia";"Atalanta BC";"Ascoli";"550 mila ";"550 mila  Fine prestito 30/giu/2018"
"Acquisto";"Gabriel Lunetta";"Ala sinistra";"21";18/19";"Italia";"Atalanta BC";"Renate";"175 mila ";"175 mila  Fine prestito 30/giu/2018"
"Acquisto";"Fabio Eguelfi";"Terzino sinistro";"23";18/19";"Italia";"Atalanta BC";"Cesena";"700 mila ";"700 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alessandro Eleuteri";"Terzino destro";"20";18/19";"Italia";"Atalanta BC";"Monopoli";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Luca Zanotti";"Portiere";"24";18/19";"Italia";"Atalanta BC";"Juve Stabia";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alessandro Turrin";"Portiere";"21";18/19";"Italia";"Atalanta BC";"Reggina";"125 mila ";"125 mila  Fine prestito 30/giu/2018"
"Acquisto";"Bryan Cabezas";"Ala sinistra";"21";18/19";"Ecuador";"Atalanta BC";"Avellino";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Davide Agazzi";"Centrale";"25";18/19";"Italia";"Atalanta BC";"Foggia";"500 mila ";"500 mila  Fine prestito 30/giu/2018"
"Acquisto";"Andrea Boffelli";"Difensore centrale";"21";18/19";"Italia";"Atalanta BC";"Mestre";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Doudou Mangni";"Punta centrale";"25";18/19";"Italia";"Atalanta BC";"Monopoli";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Michele Canini";"Difensore centrale";"33";18/19";"Italia";"Atalanta BC";"Cremonese";"250 mila ";"250 mila  Fine prestito 30/giu/2018"
"Acquisto";"Tommaso Tentoni";"Terzino destro";"21";18/19";"Italia";"Atalanta BC";"Carrarese";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Emanuele Suagher";"Difensore centrale";"25";18/19";"Italia";"Atalanta BC";"Cesena";"400 mila ";"400 mila  Fine prestito 30/giu/2018"
"Acquisto";"Alberto Paloschi";"Punta centrale";"28";18/19";"Italia";"Atalanta BC";"SPAL";"3,50 mln ";"3,50 mln  Fine prestito 30/giu/2018"
"Acquisto";"Marco D'Alessandro";"Ala destra";"27";18/19";"Italia";"Atalanta BC";"Benevento";"2,50 mln ";"2,50 mln  Fine prestito 30/giu/2018"
"Acquisto";"Mirco Miori";"Portiere";"22";18/19";"Italia";"Atalanta BC";"Triestina";"200 mila ";"200 mila  Fine prestito 30/giu/2018"
"Acquisto";"Janis Cavagna";"Mediano";"23";18/19";"Italia";"Atalanta BC";"Pro Piacenza";"100 mila ";"100 mila  Fine prestito 30/giu/2018"
"Acquisto";"Modou Badjie";"Centrale";"21";18/19";"Gambia";"Atalanta BC";"Catanzaro";"50 mila ";"50 mila  Fine prestito 30/giu/2018"
"Acquisto";"Berat Djimsiti";"Difensore centrale";"25";18/19";"Albania";"Atalanta BC";"Benevento";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Stefano Cason";"Difensore centrale";"22";18/19";"Italia";"Atalanta BC";"Catanzaro";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Antonio Palma";"Centrale";"24";18/19";"Italia";"Atalanta BC";"Renate";"375 mila ";"375 mila  Fine prestito 30/giu/2018"
"Acquisto";"Valerio Nava";"Terzino destro";"24";18/19";"Italia";"Atalanta BC";"Juve Stabia";"175 mila ";"175 mila  Fine prestito 30/giu/2018"
"Acquisto";"Boris Radunović";"Portiere";"22";18/19";"Serbia";"Atalanta BC";"Salernitana";"1,00 mln ";"1,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Federico Mattiello";"Terzino destro";"22";18/19";"Italia";"Atalanta BC";"SPAL";"2,50 mln ";"2,50 mln  Fine prestito 30/giu/2018"
"Acquisto";"Alessandro Santopadre";"Portiere";"19";18/19";"Italia";"Atalanta BC";"Perugia";"75 mila ";"75 mila  Fine prestito 30/giu/2018"
"Acquisto";"Luca Valzania";"Centrale";"22";18/19";"Italia";"Atalanta BC";"Pescara";"1,40 mln ";"1,40 mln  Fine prestito 30/giu/2018"
"Acquisto";"Constantin Nica";"Terzino destro";"25";18/19";"Romania";"Atalanta BC";"Dinamo Bucarest";"100 mila ";"100 mila  Fine prestito 30/giu/2018"
"Acquisto";"Christian Mora";"Terzino destro";"20";18/19";"Italia";"Atalanta BC";"Piacenza";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
"Acquisto";"Riccardo Gatti";"Difensore centrale";"21";18/19";"Italia";"Atalanta BC";"Reggina";"100 mila ";"100 mila  Fine prestito 30/giu/2018"
"Acquisto";"Giuseppe De Luca";"Punta centrale";"26";18/19";"Italia";"Atalanta BC";"Virtus Entella";"900 mila ";"900 mila  Fine prestito 30/giu/2018"
"Acquisto";"Jasmin Kurtic";"Trequartista";"29";18/19";"Slovenia";"Atalanta BC";"SPAL";"5,00 mln ";"5,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Nicolas La Vigna";"Mediano";"21";18/19";"Italia";"Atalanta BC";"Pro Piacenza";"150 mila ";"150 mila  Fine prestito 30/giu/2018"
"Acquisto";"Tiziano Tulissi";"Ala destra";"20";18/19";"Italia";"Atalanta BC";"Reggina";"225 mila ";"225 mila  Fine prestito 30/giu/2018"
"Acquisto";"Luca Vido";"Punta centrale";"21";18/19";"Italia";"Atalanta BC";"Cittadella";"700 mila ";"700 mila  Fine prestito 30/giu/2018"
"Cessione";"Bryan Cristante";"Centrale";"23";18/19";"Italia";"Atalanta BC";"Roma";"25,00 mln ";"25,00 mln  Spesa prestito: 5,00 mln "
"Cessione";"Jasmin Kurtic";"Trequartista";"29";18/19";"Slovenia";"Atalanta BC";"SPAL";"5,00 mln ";"5,00 mln  4,80 mln "
"Cessione";"Alberto Paloschi";"Punta centrale";"28";18/19";"Italia";"Atalanta BC";"SPAL";"3,50 mln ";"3,50 mln  4,00 mln "
"Cessione";"Andrea Petagna";"Punta centrale";"23";18/19";"Italia";"Atalanta BC";"SPAL";"9,00 mln ";"9,00 mln  Spesa prestito: 3,00 mln "
"Cessione";"Janis Cavagna";"Mediano";"23";18/19";"Italia";"Atalanta BC";"Reggio Audace";"100 mila ";"100 mila  gratuito"
"Cessione";"Antonio Palma";"Centrale";"24";18/19";"Italia";"Atalanta BC";"Giana Erminio";"375 mila ";"375 mila  gratuito"
"Cessione";"Giuseppe De Luca";"Punta centrale";"26";18/19";"Italia";"Atalanta BC";"Virtus Entella";"900 mila ";"900 mila  gratuito"
"Cessione";"Michele Canini";"Difensore centrale";"33";18/19";"Italia";"Atalanta BC";"Feralpisalò";"250 mila ";"250 mila  gratuito"
"Cessione";"Michele Messina";"Terzino destro";"22";18/19";"Italia";"Atalanta BC";"Viterbese";"125 mila ";"125 mila  ?"
"Cessione";"Giacomo Parigi";"Punta centrale";"22";18/19";"Italia";"Atalanta BC";"Paganese";"75 mila ";"75 mila  Prestito"
"Cessione";"Isnik Alimi";"Centrale";"24";18/19";"Albania";"Atalanta BC";"Rimini";"100 mila ";"100 mila  Prestito"
"Cessione";"Marco Carraro";"Mediano";"20";18/19";"Italia";"Atalanta BC";"Foggia";"800 mila ";"800 mila  Prestito"
"Cessione";"Simone Emmanuello";"Centrale";"24";18/19";"Italia";"Atalanta BC";"Juventus U23";"600 mila ";"600 mila  ?"
"Cessione";"Alessandro Eleuteri";"Terzino destro";"20";18/19";"Italia";"Atalanta BC";"Ravenna";"50 mila ";"50 mila  Prestito"
"Cessione";"Alberto Dossena";"Difensore centrale";"19";18/19";"Italia";"Atalanta BC";"Pistoiese";"350 mila ";"350 mila  Prestito"
"Cessione";"Nicolò Fazzi";"Centrocampista di destra";"23";18/19";"Italia";"Atalanta BC";"Livorno";"350 mila ";"350 mila  Prestito"
"Cessione";"Ákos Kecskés";"Difensore centrale";"22";18/19";"Ungheria";"Atalanta BC";"FC Lugano";"300 mila ";"300 mila  ?"
"Cessione";"Davide Merelli";"Portiere";"22";18/19";"Italia";"Atalanta BC";"Padova";"100 mila ";"100 mila  ?"
"Cessione";"Alex Redolfi";"Difensore centrale";"24";18/19";"Italia";"Atalanta BC";"Reggina";"125 mila ";"125 mila  ?"
"Cessione";"Alessandro Turrin";"Portiere";"21";18/19";"Italia";"Atalanta BC";"V. Francavilla";"125 mila ";"125 mila  Prestito"
"Cessione";"Fabio Eguelfi";"Terzino sinistro";"23";18/19";"Italia";"Atalanta BC";"Verona";"700 mila ";"700 mila  Prestito"
"Cessione";"Mario Pugliese";"Centrale";"22";18/19";"Italia";"Atalanta BC";"Carrarese";"175 mila ";"175 mila  Prestito"
"Cessione";"Andreas Cornelius";"Punta centrale";"25";18/19";"Danimarca";"Atalanta BC";"G. Bordeaux";"3,00 mln ";"3,00 mln  Prestito"
"Cessione";"Stefano Cason";"Difensore centrale";"22";18/19";"Italia";"Atalanta BC";"V. Francavilla";"75 mila ";"75 mila  ?"
"Cessione";"Tiziano Tulissi";"Ala destra";"20";18/19";"Italia";"Atalanta BC";"Reggina";"225 mila ";"225 mila  Prestito"
"Cessione";"Emanuele Suagher";"Difensore centrale";"25";18/19";"Italia";"Atalanta BC";"Carpi";"400 mila ";"400 mila  Prestito"
"Cessione";"Andrea Boffelli";"Difensore centrale";"21";18/19";"Italia";"Atalanta BC";"Pro Patria";"75 mila ";"75 mila  Prestito"
"Cessione";"Tommaso Tentoni";"Terzino destro";"21";18/19";"Italia";"Atalanta BC";"Alessandria";"200 mila ";"200 mila  Prestito"
"Cessione";"Filippo Melegoni";"Mediano";"19";18/19";"Italia";"Atalanta BC";"Pescara";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Anton Kresic";"Difensore centrale";"22";18/19";"Croazia";"Atalanta BC";"Cremonese";"300 mila ";"300 mila  Prestito"
"Cessione";"Roberto Ranieri";"Centrale";"21";18/19";"Italia";"Atalanta BC";"Teramo";"150 mila ";"150 mila  Prestito"
"Cessione";"Marco D'Alessandro";"Ala destra";"27";18/19";"Italia";"Atalanta BC";"Udinese";"2,50 mln ";"2,50 mln  Prestito"
"Cessione";"Bryan Cabezas";"Ala sinistra";"21";18/19";"Ecuador";"Atalanta BC";"Fluminense";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Modou Badjie";"Centrale";"21";18/19";"Gambia";"Atalanta BC";"Rimini";"50 mila ";"50 mila  Prestito"
"Cessione";"Simone Mazzocchi";"Punta centrale";"19";18/19";"Italia";"Atalanta BC";"Südtirol";"250 mila ";"250 mila  Prestito"
"Cessione";"Boris Radunović";"Portiere";"22";18/19";"Serbia";"Atalanta BC";"Cremonese";"1,00 mln ";"1,00 mln  Prestito"
"Cessione";"Stefano Mazzini";"Portiere";"19";18/19";"Italia";"Atalanta BC";"Carrarese";"75 mila ";"75 mila  Prestito"
"Cessione";"João Schmidt";"Centrale";"25";18/19";"Brasile";"Atalanta BC";"Rio Ave FC";"700 mila ";"700 mila  Prestito"
"Cessione";"Riccardo Gatti";"Difensore centrale";"21";18/19";"Italia";"Atalanta BC";"Monopoli";"100 mila ";"100 mila  Prestito"
"Cessione";"Patrick Asmah";"Terzino sinistro";"22";18/19";"Ghana";"Atalanta BC";"FK Senica";"200 mila ";"200 mila  Prestito"
"Cessione";"Christian Mora";"Terzino destro";"20";18/19";"Italia";"Atalanta BC";"Pro Patria";"150 mila ";"150 mila  Prestito"
"Cessione";"Nicolas La Vigna";"Mediano";"21";18/19";"Italia";"Atalanta BC";"Pontedera";"150 mila ";"150 mila  Prestito"
"Cessione";"Salvatore Molina";"Centrocampista di destra";"26";18/19";"Italia";"Atalanta BC";"Crotone";"800 mila ";"800 mila  ?"
"Cessione";"Doudou Mangni";"Punta centrale";"25";18/19";"Italia";"Atalanta BC";"Monopoli";"75 mila ";"75 mila  ?"
"Cessione";"Federico Mattiello";"Terzino destro";"23";18/19";"Italia";"Atalanta BC";"Bologna";"2,50 mln ";"2,50 mln  Prestito"
"Cessione";"Luca Milesi";"Difensore centrale";"25";18/19";"Italia";"Atalanta BC";"Pro Vercelli";"200 mila ";"200 mila  ?"
"Cessione";"Davide Agazzi";"Centrale";"25";18/19";"Italia";"Atalanta BC";"Livorno";"500 mila ";"500 mila  Prestito"
"Cessione";"Nicolas Haas";"Centrale";"22";18/19";"Svizzera";"Atalanta BC";"Palermo";"1,50 mln ";"1,50 mln  Prestito"
"Cessione";"Alberto Almici";"Terzino destro";"25";18/19";"Italia";"Atalanta BC";"Verona";"700 mila ";"700 mila  Prestito"
"Cessione";"Alessandro Santopadre";"Portiere";"19";18/19";"Italia";"Atalanta BC";"Paganese";"75 mila ";"75 mila  Prestito"
"Cessione";"Luca Vido";"Punta centrale";"21";18/19";"Italia";"Atalanta BC";"Perugia";"700 mila ";"700 mila  Prestito"
"Cessione";"Gabriel Lunetta";"Ala sinistra";"22";18/19";"Italia";"Atalanta BC";"Giana Erminio";"175 mila ";"175 mila  Prestito"
"Cessione";"Marco Sportiello";"Portiere";"26";18/19";"Italia";"Atalanta BC";"Frosinone";"6,00 mln ";"6,00 mln  Prestito"
"Cessione";"Gaetano Monachello";"Punta centrale";"24";18/19";"Italia";"Atalanta BC";"Pescara";"550 mila ";"550 mila  Prestito"
"Cessione";"Valerio Nava";"Terzino destro";"24";18/19";"Italia";"Atalanta BC";"Pro Piacenza";"175 mila ";"175 mila  ?"
"Cessione";"Guido Marilungo";"Seconda punta";"29";18/19";"Italia";"Atalanta BC";"-";"700 mila ";"700 mila  -"
"Cessione";"Constantin Nica";"Terzino destro";"25";18/19";"Romania";"Atalanta BC";"-";"100 mila ";"100 mila  -"
"Cessione";"Pierluigi Gollini";"Portiere";"23";18/19";"Italia";"Atalanta BC";"Aston Villa";"3,50 mln ";"3,50 mln  Fine prestito 30/giu/2018"
"Cessione";"Luca Rizzo";"Centrale";"26";18/19";"Italia";"Atalanta BC";"Bologna";"2,00 mln ";"2,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Mattia Caldara";"Difensore centrale";"24";18/19";"Italia";"Atalanta BC";"Juventus";"25,00 mln ";"25,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Alessandro Bastoni";"Difensore centrale";"19";18/19";"Italia";"Atalanta BC";"Inter";"2,50 mln ";"2,50 mln  Fine prestito 30/giu/2018"
"Cessione";"Leonardo Spinazzola";"Terzino sinistro";"25";18/19";"Italia";"Atalanta BC";"Juventus";"12,00 mln ";"12,00 mln  Fine prestito 30/giu/2018"
"Cessione";"Bryan Cristante";"Centrale";"23";18/19";"Italia";"Atalanta BC";"Benfica";"25,00 mln ";"25,00 mln  Fine prestito 30/giu/2018"
"Acquisto";"Diego Falcinelli";"Punta centrale";"27";18/19";"Italia";"Bologna FC 1909";"Sassuolo";"3,80 mln ";"3,80 mln  10,00 mln "
"Acquisto";"Lukasz Skorupski";"Portiere";"27";18/19";"Polonia";"Bologna FC 1909";"Roma";"7,00 mln ";"7,00 mln  9,00 mln "
"Acquisto";"Federico Santander";"Punta centrale";"27";18/19";"Paraguay";"Bologna FC 1909";"FC Copenhagen";"2,00 mln ";"2,00 mln  6,00 mln "
"Acquisto";"Mattias Svanberg";"Mediano";"19";18/19";"Svezia";"Bologna FC 1909";"Malmö FF";"750 mila ";"750 mila  4,50 mln "
"Acquisto";"Felipe Avenatti";"Punta centrale";"25";18/19";"Uruguay";"Bologna FC 1909";"Luqueño";"1,20 mln ";"1,20 mln  3,50 mln "
"Acquisto";"Arturo Calabresi";"Difensore centrale";"22";18/19";"Italia";"Bologna FC 1909";"Roma";"700 mila ";"700 mila  200 mila "
